"PERMNO","date","PRC","VOL","RET","SHROUT","RETX","vwretd","GVKEY","datadate","fyearq","fqtr","fyr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","acchgq","acomincq","acoq","actq","altoq","ancq","anoq","aociderglq","aociotherq","aocipenq","aocisecglq","aol2q","aoq","apq","aqaq","aqdq","aqepsq","aqpl1q","aqpq","arcedq","arceepsq","arceq","atq","aul3q","billexceq","capr1q","capr2q","capr3q","capsftq","capsq","ceiexbillq","ceqq","cheq","chq","cibegniq","cicurrq","ciderglq","cimiiq","ciotherq","cipenq","ciq","cisecglq","citotalq","cogsq","csh12q","cshfd12","cshfdq","cshiq","cshopq","cshoq","cshprq","cstkcvq","cstkeq","cstkq","dcomq","dd1q","deracq","deraltq","derhedglq","derlcq","derlltq","diladq","dilavq","dlcq","dlttq","doq","dpacreq","dpactq","dpq","dpretq","drcq","drltq","dteaq","dtedq","dteepsq","dtepq","dvintfq","dvpq","epsf12","epsfi12","epsfiq","epsfxq","epspi12","epspiq","epspxq","epsx12","esopctq","esopnrq","esoprq","esoptq","esubq","fcaq","ffoq","finacoq","finaoq","finchq","findlcq","findltq","finivstq","finlcoq","finltoq","finnpq","finreccq","finrecltq","finrevq","finxintq","finxoprq","gdwlamq","gdwlia12","gdwliaq","gdwlid12","gdwlidq","gdwlieps12","gdwliepsq","gdwlipq","gdwlq","glaq","glcea12","glceaq","glced12","glcedq","glceeps12","glceepsq","glcepq","gldq","glepsq","glivq","glpq","hedgeglq","ibadj12","ibadjq","ibcomq","ibmiiq","ibq","icaptq","intaccq","intanoq","intanq","invfgq","invoq","invrmq","invtq","invwipq","ivaeqq","ivaoq","ivltq","ivstq","lcoq","lctq","lltq","lnoq","lol2q","loq","loxdrq","lqpl1q","lseq","ltmibq","ltq","lul3q","mibnq","mibq","mibtq","miiq","msaq","ncoq","niitq","nimq","niq","nopiq","npatq","npq","nrtxtdq","nrtxtepsq","nrtxtq","obkq","oepf12","oeps12","oepsxq","oiadpq","oibdpq","opepsq","optdrq","optfvgrq","optlifeq","optrfrq","optvolq","piq","pllq","pnc12","pncd12","pncdq","pnceps12","pncepsq","pnciapq","pnciaq","pncidpq","pncidq","pnciepspq","pnciepsq","pncippq","pncipq","pncpd12","pncpdq","pncpeps12","pncpepsq","pncpq","pncq","pncwiapq","pncwiaq","pncwidpq","pncwidq","pncwiepq","pncwiepsq","pncwippq","pncwipq","pnrshoq","ppegtq","ppentq","prcaq","prcd12","prcdq","prce12","prceps12","prcepsq","prcpd12","prcpdq","prcpeps12","prcpepsq","prcpq","prcraq","prshoq","pstknq","pstkq","pstkrq","rcaq","rcdq","rcepsq","rcpq","rdipaq","rdipdq","rdipepsq","rdipq","recdq","rectaq","rectoq","rectq","rectrq","recubq","req","retq","reunaq","revtq","rllq","rra12","rraq","rrd12","rrdq","rreps12","rrepsq","rrpq","rstcheltq","rstcheq","saleq","seqoq","seqq","seta12","setaq","setd12","setdq","seteps12","setepsq","setpq","spce12","spced12","spcedpq","spcedq","spceeps12","spceepsp12","spceepspq","spceepsq","spcep12","spcepd12","spcepq","spceq","spidq","spiepsq","spioaq","spiopq","spiq","sretq","stkcoq","stkcpaq","teqq","tfvaq","tfvceq","tfvlq","tieq","tiiq","tstknq","tstkq","txdbaq","txdbcaq","txdbclq","txdbq","txdiq","txditcq","txpq","txtq","txwq","uacoq","uaoq","uaptq","ucapsq","ucconsq","uceqq","uddq","udmbq","udoltq","udpcoq","udvpq","ugiq","uinvq","ulcoq","uniamiq","unopincq","uopiq","updvpq","upmcstkq","upmpfq","upmpfsq","upmsubpq","upstkcq","upstkq","urectq","uspiq","usubdvpq","usubpcvq","utemq","wcapq","wdaq","wddq","wdepsq","wdpq","xaccq","xidoq","xintq","xiq","xoprq","xopt12","xoptd12","xoptd12p","xoptdq","xoptdqp","xopteps12","xoptepsp12","xoptepsq","xoptepsqp","xoptq","xoptqp","xrdq","xsgaq","costat","MARKETCAP"
14593,20110131,339.32001,4017673,0.051959,921278,0.051959,0.01919,"001690",20100930,2010,4,9,"INDL","C","D","STD","USD","2010Q3","2010Q4",0,-46,5083,41678,2263,33505,0,-252,0,0,0,46675,28737,12015,NA,NA,NA,2885,NA,NA,NA,NA,75183,0,NA,NA,NA,NA,NA,0,NA,47791,25620,11261,4308,50,-294,0,0,0,4154,90,4154,12502,909.461,924.712,928.825,915.97,0,915.97,914.555,11.647,0,10668,0,0,NA,NA,NA,NA,NA,0,4308,0,0,0,NA,2466,329,NA,2984,1139,NA,NA,NA,NA,NA,0,15.15,15.15,4.64,4.64,15.41,4.71,4.71,15.41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14013,4308,4308,4308,4308,47791,NA,342,1083,NA,NA,NA,1051,NA,NA,NA,25391,14359,8497,20722,6670,0,606,2370,1231,0,75183,27392,27392,0,0,0,0,0,171,NA,NA,NA,4308,14,NA,0,0,0,0,NA,15.1,15.35,4.64,5447,5776,4.71,0,108.58,10,3.71,36.3,5461,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,7234,4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,55,35,4414,9924,5510,NA,37123,NA,37169,20343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20343,0,47791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,224,148,47791,49560,0,606,NA,NA,0,0,NA,NA,NA,NA,1440,4300,210,1153,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20956,NA,NA,NA,NA,4850,0,0,0,14567,0,0,0,0,0,0,0,0,0,0,0,494,2065,"A",NA
14593,20110228,353.20999,3459849,0.040935,921278,0.040935,0.038168,"001690",20100930,2010,4,9,"INDL","C","D","STD","USD","2010Q3","2010Q4",0,-46,5083,41678,2263,33505,0,-252,0,0,0,46675,28737,12015,NA,NA,NA,2885,NA,NA,NA,NA,75183,0,NA,NA,NA,NA,NA,0,NA,47791,25620,11261,4308,50,-294,0,0,0,4154,90,4154,12502,909.461,924.712,928.825,915.97,0,915.97,914.555,11.647,0,10668,0,0,NA,NA,NA,NA,NA,0,4308,0,0,0,NA,2466,329,NA,2984,1139,NA,NA,NA,NA,NA,0,15.15,15.15,4.64,4.64,15.41,4.71,4.71,15.41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14013,4308,4308,4308,4308,47791,NA,342,1083,NA,NA,NA,1051,NA,NA,NA,25391,14359,8497,20722,6670,0,606,2370,1231,0,75183,27392,27392,0,0,0,0,0,171,NA,NA,NA,4308,14,NA,0,0,0,0,NA,15.1,15.35,4.64,5447,5776,4.71,0,108.58,10,3.71,36.3,5461,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,7234,4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,55,35,4414,9924,5510,NA,37123,NA,37169,20343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20343,0,47791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,224,148,47791,49560,0,606,NA,NA,0,0,NA,NA,NA,NA,1440,4300,210,1153,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20956,NA,NA,NA,NA,4850,0,0,0,14567,0,0,0,0,0,0,0,0,0,0,0,494,2065,"A",NA
14593,20110331,348.50751,4253054,-0.013314,924674,-0.013314,0.003343,"001690",20100930,2010,4,9,"INDL","C","D","STD","USD","2010Q3","2010Q4",0,-46,5083,41678,2263,33505,0,-252,0,0,0,46675,28737,12015,NA,NA,NA,2885,NA,NA,NA,NA,75183,0,NA,NA,NA,NA,NA,0,NA,47791,25620,11261,4308,50,-294,0,0,0,4154,90,4154,12502,909.461,924.712,928.825,915.97,0,915.97,914.555,11.647,0,10668,0,0,NA,NA,NA,NA,NA,0,4308,0,0,0,NA,2466,329,NA,2984,1139,NA,NA,NA,NA,NA,0,15.15,15.15,4.64,4.64,15.41,4.71,4.71,15.41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14013,4308,4308,4308,4308,47791,NA,342,1083,NA,NA,NA,1051,NA,NA,NA,25391,14359,8497,20722,6670,0,606,2370,1231,0,75183,27392,27392,0,0,0,0,0,171,NA,NA,NA,4308,14,NA,0,0,0,0,NA,15.1,15.35,4.64,5447,5776,4.71,0,108.58,10,3.71,36.3,5461,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,7234,4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,55,35,4414,9924,5510,NA,37123,NA,37169,20343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20343,0,47791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,224,148,47791,49560,0,606,NA,NA,0,0,NA,NA,NA,NA,1440,4300,210,1153,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20956,NA,NA,NA,NA,4850,0,0,0,14567,0,0,0,0,0,0,0,0,0,0,0,494,2065,"A",NA
14593,20110429,350.13,3437440,0.004656,924755,0.004656,0.028602,"001690",20101231,2011,1,9,"INDL","C","D","STD","USD","2010Q4","2011Q1",0,114,5191,43927,2954,42815,0,-9,0,0,0,55431,36947,14301,NA,NA,NA,1599,NA,NA,NA,NA,86742,0,NA,NA,NA,NA,NA,0,NA,54666,26977,10734,6004,16,243,0,0,0,6164,-99,6164,16087,913.3985,928.0545,933.154,921.035,NA,921.035,919.294,12.488,0,11502,0,NA,NA,NA,NA,NA,NA,0,6004,0,0,0,NA,2767,356,NA,3541,1216,NA,NA,NA,NA,NA,0,17.91,17.91,6.43,6.43,18.2,6.53,6.53,18.2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16639,6004,6004,6004,6004,54666,NA,522,1263,NA,NA,NA,885,NA,NA,NA,32730,16243,9342,23795,8281,0,108,2863,1647,0,86742,32076,32076,0,0,0,0,0,72,NA,NA,NA,6004,136,NA,NA,NA,NA,NA,NA,17.85,18.14,6.43,7827,8183,6.53,NA,NA,NA,NA,NA,7963,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,8635,5868,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,62,51,4847,10874,6027,NA,43164,NA,43050,26741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26741,0,54666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,299,203,54666,57030,0,108,NA,NA,0,0,NA,NA,NA,NA,NA,5418,152,1959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20132,NA,NA,NA,NA,NA,0,0,0,18558,0,0,0,0,0,0,0,0,0,0,0,575,2471,"A",NA
14593,20110531,347.82999,2580262,-0.006569,924755,-0.006569,-0.014958,"001690",20101231,2011,1,9,"INDL","C","D","STD","USD","2010Q4","2011Q1",0,114,5191,43927,2954,42815,0,-9,0,0,0,55431,36947,14301,NA,NA,NA,1599,NA,NA,NA,NA,86742,0,NA,NA,NA,NA,NA,0,NA,54666,26977,10734,6004,16,243,0,0,0,6164,-99,6164,16087,913.3985,928.0545,933.154,921.035,NA,921.035,919.294,12.488,0,11502,0,NA,NA,NA,NA,NA,NA,0,6004,0,0,0,NA,2767,356,NA,3541,1216,NA,NA,NA,NA,NA,0,17.91,17.91,6.43,6.43,18.2,6.53,6.53,18.2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16639,6004,6004,6004,6004,54666,NA,522,1263,NA,NA,NA,885,NA,NA,NA,32730,16243,9342,23795,8281,0,108,2863,1647,0,86742,32076,32076,0,0,0,0,0,72,NA,NA,NA,6004,136,NA,NA,NA,NA,NA,NA,17.85,18.14,6.43,7827,8183,6.53,NA,NA,NA,NA,NA,7963,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,8635,5868,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,62,51,4847,10874,6027,NA,43164,NA,43050,26741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26741,0,54666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,299,203,54666,57030,0,108,NA,NA,0,0,NA,NA,NA,NA,NA,5418,152,1959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20132,NA,NA,NA,NA,NA,0,0,0,18558,0,0,0,0,0,0,0,0,0,0,0,575,2471,"A",NA
14593,20110630,335.67001,3449685,-0.03496,926904,-0.03496,-0.018453,"001690",20101231,2011,1,9,"INDL","C","D","STD","USD","2010Q4","2011Q1",0,114,5191,43927,2954,42815,0,-9,0,0,0,55431,36947,14301,NA,NA,NA,1599,NA,NA,NA,NA,86742,0,NA,NA,NA,NA,NA,0,NA,54666,26977,10734,6004,16,243,0,0,0,6164,-99,6164,16087,913.3985,928.0545,933.154,921.035,NA,921.035,919.294,12.488,0,11502,0,NA,NA,NA,NA,NA,NA,0,6004,0,0,0,NA,2767,356,NA,3541,1216,NA,NA,NA,NA,NA,0,17.91,17.91,6.43,6.43,18.2,6.53,6.53,18.2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16639,6004,6004,6004,6004,54666,NA,522,1263,NA,NA,NA,885,NA,NA,NA,32730,16243,9342,23795,8281,0,108,2863,1647,0,86742,32076,32076,0,0,0,0,0,72,NA,NA,NA,6004,136,NA,NA,NA,NA,NA,NA,17.85,18.14,6.43,7827,8183,6.53,NA,NA,NA,NA,NA,7963,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,8635,5868,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,62,51,4847,10874,6027,NA,43164,NA,43050,26741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26741,0,54666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,299,203,54666,57030,0,108,NA,NA,0,0,NA,NA,NA,NA,NA,5418,152,1959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20132,NA,NA,NA,NA,NA,0,0,0,18558,0,0,0,0,0,0,0,0,0,0,0,575,2471,"A",NA
14593,20110729,390.48001,3929412,0.163285,927091,0.163285,-0.02255,"001690",20110331,2011,2,9,"INDL","C","D","STD","USD","2011Q1","2011Q2",0,126,5738,46997,3885,47907,0,-91,0,0,0,60688,41666,13714,NA,NA,NA,1908,NA,NA,NA,NA,94904,0,NA,NA,NA,NA,NA,0,NA,61477,29234,15978,5987,74,-82,0,0,0,5999,20,5999,14015,917.3105,931.321,935.944,924.674,NA,924.674,923.196,13.33,0,12326,0,NA,NA,NA,NA,NA,NA,0,5987,0,0,0,NA,3175,434,NA,3591,1230,NA,NA,NA,NA,NA,0,20.98,20.98,6.4,6.4,21.3,6.49,6.49,21.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19552,5987,5987,5987,5987,61477,NA,507,1248,NA,NA,NA,930,NA,NA,NA,36533,13256,9682,24327,9100,0,234,2950,1720,0,94904,33427,33427,0,0,0,0,0,92,NA,NA,NA,5987,26,NA,NA,NA,NA,NA,NA,20.92,21.24,6.4,7874,8308,6.49,NA,181.13,NA,NA,NA,7900,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,9416,6241,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,57,125,5297,11095,5798,NA,49151,NA,49025,24667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24667,0,61477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,287,147,61477,62596,0,234,NA,NA,0,0,NA,NA,NA,NA,NA,6150,931,1913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22670,NA,NA,NA,NA,NA,0,0,0,16359,0,0,0,0,0,0,0,0,0,0,0,581,2344,"A",322255833.30174
14593,20110831,384.82999,5981498,-0.014469,927091,-0.014469,-0.057597,"001690",20110331,2011,2,9,"INDL","C","D","STD","USD","2011Q1","2011Q2",0,126,5738,46997,3885,47907,0,-91,0,0,0,60688,41666,13714,NA,NA,NA,1908,NA,NA,NA,NA,94904,0,NA,NA,NA,NA,NA,0,NA,61477,29234,15978,5987,74,-82,0,0,0,5999,20,5999,14015,917.3105,931.321,935.944,924.674,NA,924.674,923.196,13.33,0,12326,0,NA,NA,NA,NA,NA,NA,0,5987,0,0,0,NA,3175,434,NA,3591,1230,NA,NA,NA,NA,NA,0,20.98,20.98,6.4,6.4,21.3,6.49,6.49,21.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19552,5987,5987,5987,5987,61477,NA,507,1248,NA,NA,NA,930,NA,NA,NA,36533,13256,9682,24327,9100,0,234,2950,1720,0,94904,33427,33427,0,0,0,0,0,92,NA,NA,NA,5987,26,NA,NA,NA,NA,NA,NA,20.92,21.24,6.4,7874,8308,6.49,NA,181.13,NA,NA,NA,7900,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,9416,6241,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,57,125,5297,11095,5798,NA,49151,NA,49025,24667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24667,0,61477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,287,147,61477,62596,0,234,NA,NA,0,0,NA,NA,NA,NA,NA,6150,931,1913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22670,NA,NA,NA,NA,NA,0,0,0,16359,0,0,0,0,0,0,0,0,0,0,0,581,2344,"A",322255833.30174
14593,20110930,381.32001,4428460,-0.009121,929277,-0.009121,-0.08503,"001690",20110331,2011,2,9,"INDL","C","D","STD","USD","2011Q1","2011Q2",0,126,5738,46997,3885,47907,0,-91,0,0,0,60688,41666,13714,NA,NA,NA,1908,NA,NA,NA,NA,94904,0,NA,NA,NA,NA,NA,0,NA,61477,29234,15978,5987,74,-82,0,0,0,5999,20,5999,14015,917.3105,931.321,935.944,924.674,NA,924.674,923.196,13.33,0,12326,0,NA,NA,NA,NA,NA,NA,0,5987,0,0,0,NA,3175,434,NA,3591,1230,NA,NA,NA,NA,NA,0,20.98,20.98,6.4,6.4,21.3,6.49,6.49,21.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19552,5987,5987,5987,5987,61477,NA,507,1248,NA,NA,NA,930,NA,NA,NA,36533,13256,9682,24327,9100,0,234,2950,1720,0,94904,33427,33427,0,0,0,0,0,92,NA,NA,NA,5987,26,NA,NA,NA,NA,NA,NA,20.92,21.24,6.4,7874,8308,6.49,NA,181.13,NA,NA,NA,7900,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,9416,6241,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,57,125,5297,11095,5798,NA,49151,NA,49025,24667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24667,0,61477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,287,147,61477,62596,0,234,NA,NA,0,0,NA,NA,NA,NA,NA,6150,931,1913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22670,NA,NA,NA,NA,NA,0,0,0,16359,0,0,0,0,0,0,0,0,0,0,0,581,2344,"A",322255833.30174
14593,20111031,404.78,4844030,0.061523,929409,0.061523,0.114215,"001690",20110630,2011,3,9,"INDL","C","D","STD","USD","2011Q2","2011Q3",0,389,6143,46898,3440,59860,0,21,0,0,0,71962,53111,15270,NA,NA,NA,1564,NA,NA,NA,NA,106758,0,NA,NA,NA,NA,NA,0,NA,69343,28395,12091,7308,11,112,0,0,0,7571,140,7571,16168,920.8265,933.9723,937.81,926.904,NA,926.904,926.108,13.72,0,12715,0,NA,NA,NA,NA,NA,NA,0,7308,0,0,0,NA,3599,481,NA,3992,1407,NA,NA,NA,NA,NA,0,25.27,25.27,7.79,7.79,25.62,7.89,7.89,25.62,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23607,7308,7308,7308,7308,69343,NA,1169,1910,NA,NA,NA,889,NA,NA,NA,47761,16304,10459,26859,10556,0,70,3225,1818,0,106758,37415,37415,0,0,0,0,0,232,NA,NA,NA,7308,172,NA,NA,NA,NA,NA,NA,25.27,25.62,7.79,9379,9860,7.89,NA,NA,NA,NA,NA,9551,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,10348,6749,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,55,136,5369,11471,6102,NA,56628,NA,56239,28571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28571,0,69343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,284,171,69343,73526,0,70,NA,NA,0,0,NA,NA,NA,NA,NA,7331,1130,2243,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20039,NA,NA,NA,NA,NA,0,0,0,18711,0,0,0,0,0,0,0,0,0,0,0,628,2543,"A",311133874.94904
